ITEM|SOURCE|SOURCE_ZIP|DEST|DEST_ZIP|TRANSLEADTIME|PRIORITY|U_Equipment_TYPE
04055RUPLUS|US2Z|68701|4000267399|68763|1|1|VN
04055RUPLUS|US2Z|68701|4000262175|57104|1|1|VN
04055RUPLUS|US2Z|68701|4000190717|68901|1|1|VN
04055RUPLUS|US2Z|68701|4000230316|68827|1|1|VN
04055RUPLUS|US2Z|68701|4000131645|57350|1440|1|VN
04055RUPLUS|US2Z|68701|4000170038|56062|1|1|VN
04055RUPLUS|US2Z|68701|4000077572|51250|1|1|VN
04055RUPLUS|US2Z|68701|4000242482|57104|1|1|VN
04055RUPLUS|US2Z|68701|4000276819|57368|1|1|VN
04055RUPLUS|US2Z|68701|4000100873|68701|1|1|VN
04055RUPLUS|US2Z|68701|4000093056|68869|1|1|VN
04055RUPLUS|US26|35055|4000185386|38106|1|1|VN
04055RUPLUS|US6D|89115|6101022413|89014|1|1|VN
04055RUPLUS|US6D|89115|6101028854|89053|1|1|VN
04055RUPLUS|US6D|89115|4000287544|89030|1|1|VN
04055RUPLUS|US6D|89115|4000227446|89118|1|1|VN
04055RUPLUS|US6D|89115|4000090483|95380|1440|1|FB
04055RUPLUS|US6D|89115|4000225079|89019|1|1|VN
04055RUPLUS|US6D|89115|4000117600|83350|2880|1|VN
04055RUPLUS|US6D|89115|6101046932|83221|2880|1|FB
04055RUPLUS|US6D|89115|4000118484|89447|1440|1|FB
04055RUPLUS|US6D|89115|4000286241|89014|1|1|VN
04055RUPLUS|US6D|89115|4000162339|84721|1440|1|VN
04055RUPLUS|US6D|89115|6101009768|84655|1440|1|VN
04055RUPLUS|US6D|89115|4000048485|89015|1|1|VN
04055RUPLUS|US6D|89115|6100715872|89030|1|1|VN
04055RUPLUS|US6D|89115|4000097199|84784|1|1|VN
04055RUPLUS|US6D|89115|4000262059|89015|1|1|VN
04055RUPLUS|US6D|89115|4000231965|89103|1|1|VN
04055RUPLUS|US6D|89115|6100342702|83210|2880|1|FB
04055RUPLUS|US6D|89115|4000182841|89011|1|1|VN
04055RUPLUS|US6D|89115|4000193886|89014|1|1|VN
04055RUPLUS|US6D|89115|6100425971|89015|1|1|VN
04055RUPLUS|US6D|89115|4000203041|89119|1|1|VN
04055RUPLUS|US6D|89115|4000194791|89118|1|1|VN
04055RUPLUS|US6D|89115|4000114065|89015|1|1|VN
04055RUPLUS|US6D|89115|4000288631|89102|1|1|FB
04055RUPLUS|US6D|89115|4000170574|89118|1|1|VN
04055RUPLUS|US6D|89115|6101008518|83347|2880|1|VN
04055RUPLUS|US6D|89115|4000286239|89115|1|1|VN
04055RUPLUS|US6D|89115|6100426024|89015|1|1|VN
04055RUPLUS|US6D|89115|4000304170|89043|1|1|VN
04055RUPLUS|US6D|89115|4000235299|89014|1|1|VN
04055RUPLUS|US6D|89115|4000227980|89074|1|1|VN
04055RUPLUS|US6D|89115|4000266774|89115|1|1|VN
04055RUPLUS|US6D|89115|3000083409|84321|2880|1|VN
04055RUPLUS|US6D|89115|4000232771|89115|1|1|VN
04055RUPLUS|US6D|89115|4000275760|89113|1|1|VN
04055RUPLUS|US6D|89115|4000215536|89074|1|1|VN
04055RUPLUS|US6D|89115|4000213410|89030|1|1|VN
04055RUPLUS|US6D|89115|6100492345|89015|1|1|VN
04055RUPLUS|US6D|89115|4000218868|89115|1|1|VN
04055RUPLUS|US6D|89115|6100348608|83221|2880|1|FB
04055RUPLUS|US6D|89115|4000101055|89002|1|1|VN
04055RUPLUS|US6D|89115|6101031680|83301|2880|1|VN
04055RUPLUS|US6D|89115|6131666279|89118|1|1|FB
04055RUPLUS|US6D|89115|4000122491|89030|1|1|FB
04055RUPLUS|US36|84737|4000019275|84660|1440|1|VN
04055RUPLUS|US41|93257|4000116171|95205|1|1|VN
04055RUPLUS|US48|85326|4000129739|85365|1|1|FB
04055RUPLUS|US48|85326|4000111446|85347|1|1|FB
04055RUPLUS|US48|85326|4000216257|86327|1|1|VN
04055RUPLUS|US48|85326|6100637564|85365|1|1|FB
04055RUPLUS|US48|85326|6100694001|85364|1|1|FB
04055RUPLUS|US48|85326|4000168572|85365|1|1|VN
04055RUPLUS|US48|85326|4000117648|85356|1|1|FB
04055RUPLUS|US48|85326|4000172215|85364|1|1|FB
04055RUPLUS|US48|85326|4000208480|85365|1|1|FB
04055RUPLUS|US48|85326|4000117847|85365|1|1|FB
04055RUPLUS|US48|85326|4000085760|85365|1|1|FB
04055RUPLUS|US48|85326|4000118616|85365|1|1|FB
04055RUPLUS|US48|85326|4000117619|85347|1|1|FB
04055RUPLUS|US48|85326|4000221321|86025|1440|1|VN
04055RUPLUS|US48|85326|6100690504|85364|1|1|FB
04055RUPLUS|US48|85326|6100164084|85365|1|1|FB
04055RUPLUS|US48|85326|4000210939|85365|1|1|VN
04055RUPLUS|US48|85326|4000101791|85365|1|1|FB
04055RUPLUS|US48|85326|4000221708|85364|1|1|VN
04055RUPLUS|US48|85326|6101052595|85365|1|1|FB
04055RUPLUS|US48|85326|4000117382|85365|1|1|FB
04055RUPLUS|US48|85326|4000219962|85365|1|1|FB
04055RUPLUS|US48|85326|4000179654|85365|1|1|FB
04055RUPLUS|US48|85326|4000143183|85365|1|1|FB
04055RUPLUS|US48|85326|4000117842|85365|1|1|FB
04055RUPLUS|US48|85326|4000120337|85365|1|1|FB
04055RUPLUS|US48|85326|4000118306|85365|1|1|VN
04055RUPLUS|US48|85326|4000091618|85365|1|1|FB
04055RUPLUS|US48|85326|4000144688|85365|1|1|FB
04055RUPLUS|US48|85326|4000109301|85365|1|1|FB
04055RUPLUS|US48|85326|4000123077|85365|1|1|FB
04055RUPLUS|US48|85326|4000167422|85365|1|1|VN
04055RUPLUS|US48|85326|4000117499|85364|1|1|FB
04055RUPLUS|US8Z|53110|6100215234|53225|1|1|VN
04055RUPLUS|US8Z|53110|6100115093|53073|1|1|VN
04055RUPLUS|US8Z|53110|4000120572|53083|1|1|VN
04055RUPLUS|US8Z|53110|4000222036|53022|1|1|VN
04055RUPLUS|US8Z|53110|6101054085|53201|1|1|VN
04055RUPLUS|US8Z|53110|6101016778|53221|1|1|VN
04055RUPLUS|US8Z|53110|4000212265|53021|1|1|VN
04055RUPLUS|US8Z|53110|4000061965|53222|1|1|VN
04055RUPLUS|US8Z|53110|4000114720|54971|1|1|VN
04055RUPLUS|US8Z|53110|4000274735|54914|1|1|VN
04055RUPLUS|US8Z|53110|4000273711|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000236410|53089|1|1|VN
04055RUPLUS|US8Z|53110|4000183935|54966|1|1|VN
04055RUPLUS|US8Z|53110|4000185485|53223|1|1|VN
04055RUPREMIUM|US8Z|53110|4000108028|53581|1|1|VN
04055RUPLUS|US8Z|53110|4000108028|53581|1|1|VN
04055RUPLUS|US8Z|53110|4000200574|53046|1|1|VN
04055RUPLUS|US8Z|53110|6101013021|53016|1|1|VN
04055RUPLUS|US8Z|53110|4000086599|53233|1|1|VN
04055RUPLUS|US8Z|53110|6100254717|53177|1|1|VN
04055RUPLUS|US8Z|53110|4000160898|53963|1|1|VN
04055RUPLUS|US8Z|53110|4000266694|53224|1|1|VN
04055RUPLUS|US8Z|53110|4000200928|53209|1|1|VN
04055RUPLUS|US8Z|53110|4000192107|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000186724|53177|1|1|VN
04055RUPLUS|US8Z|53110|6100241651|53074|1|1|VN
04055RUPLUS|US8Z|53110|6101033054|53223|1|1|VN
04055RUPLUS|US8Z|53110|6100487011|53110|1|1|VN
04055RUPLUS|US8Z|53110|6101006066|54909|1|1|VN
04055RUPLUS|US8Z|53110|6100745377|53075|1|1|VN
04055RUPLUS|US8Z|53110|4000057546|53019|1|1|VN
04055RUPLUS|US8Z|53110|4000043885|53158|1|1|VN
04055RUPLUS|US8Z|53110|6101073144|54914|1|1|VN
04055RUPLUS|US8Z|53110|4000226540|54208|1|1|VN
04055RUPLUS|US8Z|53110|4000251455|53212|1|1|VN
04055RUPLUS|US8Z|53110|4000207787|53158|1|1|VN
04055RUPLUS|US8Z|53110|4000129459|53204|1|1|VN
04055RUPLUS|US8Z|53110|4000115031|53154|1|1|VN
04055RUPLUS|US8Z|53110|4000225956|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000215960|53126|1|1|VN
04055RUPLUS|US8Z|53110|4000210019|53075|1|1|VN
04055RUPLUS|US8Z|53110|4000176204|54981|1|1|VN
04055RUPLUS|US8Z|53110|4000064371|54467|1|1|VN
04055RUPLUS|US8Z|53110|4000235960|54956|1|1|VN
04055RUPLUS|US8Z|53110|4000226963|53188|1|1|VN
04055RUPLUS|US8Z|53110|4000215856|53177|1|1|VN
04055RUPLUS|US8Z|53110|4000207226|53022|1|1|VN
04055RUPLUS|US8Z|53110|4000110045|53207|1|1|VN
04055RUPLUS|US8Z|53110|6100159027|53073|1|1|VN
04055RUPLUS|US8Z|53110|4000214426|53403|1|1|VN
04055RUPLUS|US8Z|53110|4000139423|53132|1|1|VN
04055RUPLUS|US8Z|53110|4000302308|53225|1|1|VN
04055RUPLUS|US8Z|53110|4000233607|53158|1|1|VN
04055RUPLUS|US8Z|53110|4000046593|53085|1|1|VN
04055RUPLUS|US8Z|53110|4000179875|53110|1|1|VN
04055RUPLUS|US8Z|53110|4000236100|54956|1|1|VN
04055RUPLUS|US8Z|53110|4000233086|53223|1|1|VN
04055RUPLUS|US8Z|53110|6100687563|53073|1|1|VN
04055RUPLUS|US8Z|53110|6100357116|53235|1|1|VN
04055RUPLUS|US8Z|53110|4000132565|53581|1440|1|VN
04055RUPLUS|US8Z|53110|4000220977|54937|1|1|VN
04055RUPLUS|US8Z|53110|4000216599|53207|1|1|VN
04055RUPLUS|US8Z|53110|4000110238|53073|1|1|VN
04055RUPLUS|US8Z|53110|6130067114|53177|1|1|VN
04055RUPLUS|US8Z|53110|4000203166|53215|1|1|VN
04055RUPLUS|US8Z|53110|4000200927|53022|1|1|VN
04055RUPLUS|US8Z|53110|4000185621|53036|1|1|VN
04055RUPLUS|US8Z|53110|6100221281|53094|1|1|VN
04055RUPLUS|US8Z|53110|6101010186|53223|1|1|VN
04055RUPLUS|US8Z|53110|6100527816|54915|1|1|VN
04055RUPLUS|US8Z|53110|4000199368|53098|1|1|VN
04055RUPLUS|US8Z|53110|4000196106|53216|1|1|FB
04055RUPLUS|US8Z|53110|4000277040|53151|1|1|VN
04055RUPLUS|US8Z|53110|4000276750|53012|1|1|VN
04055RUPLUS|US8Z|53110|4000117034|54983|1|1|VN
04055RUPLUS|US8Z|53110|6100148361|53149|1|1|VN
04055RUPLUS|US8Z|53110|4000173199|53075|1|1|VN
04055RUPLUS|US8Z|53110|4000181796|53901|1|1|VN
04055RUPLUS|US8Z|53110|6100669565|53126|1|1|VN
04055RUPLUS|US8Z|53110|4000186723|53177|1|1|VN
04055RUPLUS|US8Z|53110|4000065097|53222|1|1|VN
04055RUPLUS|US8Z|53110|4000235543|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000225331|53051|1|1|VN
04055RUPLUS|US8Z|53110|4000219133|53022|1|1|VN
04055RUPLUS|US8Z|53110|4000193572|53959|1|1|VN
04055RUPLUS|US8Z|53110|4000168093|53221|1|1|VN
04055RUPLUS|US8Z|53110|4000163538|53126|1|1|VN
04055RUPLUS|US8Z|53110|4000093570|53037|1|1|VN
04055RUPLUS|US8Z|53110|4000095358|54961|1|1|VN
04055RUPLUS|US8Z|53110|3000083375|53224|1|1|VN
04055RUPLUS|US8Z|53110|4000269101|53916|1|1|VN
04055RUPLUS|US8Z|53110|4000096784|53037|1|1|VN
04055RUPLUS|US8Z|53110|6100367436|54956|1|1|VN
04055RUPLUS|US8Z|53110|4000198254|54971|1|1|VN
04055RUPLUS|US8Z|53110|4000262756|53140|1|1|VN
04055RUPLUS|US8Z|53110|4000253200|53126|1|1|VN
04055RUPLUS|US8Z|53110|4000231397|53051|1|1|VN
04055RUPLUS|US8Z|53110|4000229175|53186|1|1|VN
04055RUPLUS|US8Z|53110|4000231834|53126|1|1|VN
04055RUPLUS|US8Z|53110|4000242456|53158|1|1|VN
04055RUPLUS|US8Z|53110|4000233610|53225|1|1|VN
04055RUPLUS|US8Z|53110|4000227835|53074|1|1|VN
04055RUPLUS|US8Z|53110|4000147374|54405|1|1|VN
04055RUPLUS|US8Z|53110|6131363177|54956|1|1|VN
04055RUPLUS|US8Z|53110|4000274303|53004|1|1|VN
04055RUPLUS|US8Z|53110|4000255961|53140|1|1|VN
04055RUPLUS|US8Z|53110|4000197094|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000097560|53014|1|1|VN
04055RUPLUS|US8Z|53110|4000162851|53022|1|1|VN
04055RUPLUS|US8Z|53110|6101059071|53212|1|1|VN
04055RUPLUS|US8Z|53110|6101016153|54984|1|1|VN
04055RUPLUS|US8Z|53110|4000200350|53076|1|1|VN
04055RUPLUS|US8Z|53110|4000245017|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000197136|53132|1|1|VN
04055RUPLUS|US8Z|53110|6101026222|53050|1|1|VN
04055RUPLUS|US8Z|53110|4000050920|54935|1|1|VN
04055RUPLUS|US8Z|53110|4000159223|53092|1|1|VN
04055RUPLUS|US8Z|53110|6101013030|53546|1|1|VN
04055RUPLUS|US8Z|53110|4000161349|53207|1|1|VN
04055RUPLUS|US8Z|53110|4000266778|53551|1|1|VN
04055RUPLUS|US8Z|53110|4000284229|53154|1|1|VN
04055RUPLUS|US8Z|53110|4000260685|53222|1|1|VN
04055RUPLUS|US8Z|53110|4000245353|53022|1|1|VN
04055RUPLUS|US8Z|53110|4000217483|53132|1|1|VN
04055RUPLUS|US8Z|53110|4000172874|53074|1|1|VN
04055RUPLUS|US8Z|53110|4000000354|53042|1|1|VN
04055RUPLUS|US8Z|53110|4000256208|53154|1|1|VN
04055RUPLUS|US8Z|53110|4000250286|53223|1|1|VN
04055RUPLUS|US8Z|53110|4000251973|53212|1|1|VN
04055RUPLUS|US8Z|53110|4000186135|53073|1|1|VN
04055RUPLUS|US8Z|53110|6100635824|53075|1|1|VN
04055RUPLUS|US8Z|53110|4000165499|53186|1|1|VN
04055RUPLUS|US8Z|53110|4000133956|54983|1|1|VN
04055RUPLUS|US8Z|53110|4000274024|53158|1|1|VN
04055RUPLUS|US8Z|53110|4000282668|54923|1|1|VN
04055RUPLUS|US8Z|53110|4000199918|53209|1|1|VN
