A1|B1|PS_RES|PRODRATE|YIELD_QTY|ITEM|OUTPUTITEM|PRODMETH|LOC|LOC_TYPE|DESCR|STATE|MAXCAP|NUMBER_PERIODS|HOURS_AVAIL_TOTAL|HOURS_USED_TOTAL|MIN_HOURS_USED|MAX_HOURS_USED|AVG_HOURS|SIGMA_HOURS|AVG_PERCENT_UTIL|PERCENT_TOTAL_USED|HRS_DY1|HRS_DY2|HRS_DY3|HRS_DY4|HRS_DY5|HRS_DY6|HRS_DY7|HRS_DY8|HRS_DY9|HRS_DY10|HRS_DY11|HRS_DY12|HRS_DY13|HRS_DY14|MIN_QTY_PRODUCED|MAX_QTY_PRODUCED|AVG_QTY_PRODUCED|SIGMA_QTY_PRODUCED|QTYMADE_DY1|QTYMADE_DY2|QTYMADE_DY3|QTYMADE_DY4|QTYMADE_DY5|QTYMADE_DY6|QTYMADE_DY7|QTYMADE_DY8|QTYMADE_DY9|QTYMADE_DY10|QTYMADE_DY11|QTYMADE_DY12|QTYMADE_DY13|QTYMADE_DY14|AVG_PERCENT_CAPACITY_USED|STDEV_PERCENT_CAPACITY_USED|PERCENT_CAPACITY_USED|PERCENTUTIL_DY1|PERCENTUTIL_DY2|PERCENTUTIL_DY3|PERCENTUTIL_DY4|PERCENTUTIL_DY5|PERCENTUTIL_DY6|PERCENTUTIL_DY7|PERCENTUTIL_DY8|PERCENTUTIL_DY9|PERCENTUTIL_DY10|PERCENTUTIL_DY11|PERCENTUTIL_DY12|PERCENTUTIL_DY13|PERCENTUTIL_DY14|RANK
INS_4055AR@US01|INS_4055AR@US01|INSCAP@US01|198|1|4055AR|4055AR|INS|US01|4|CHEP Service Center Red Bluff|CA|15856|14|160|68|0|16|4.82|4.54|42.2|42.2|5.92|5.92|5.92|0|0|16|8.71|6.26|6.26|6.26|0|0|6.26|0|0|3168|954.84|899.38|1171.4|1171.4|1171.4|0|0|3168|1724.3|1240.3|1240.3|1240.3|0|0|1240.3|0|67.51|0|42.2|36.98|36.98|36.98|||100|54.43|39.15|39.15|39.15|||39.15|0|1
INS_4055RUPLUS@US06|INS_4055RUPLUS@US06|INSCAP@US06|14|1|4055RUPLUS|4055RUPLUS|INS|US06|4|CHEP Service Center B'ville-5t|AR|1140|14|160|17|0|4.16|1.19|1.94|10.39|10.39|4.14|4.14|4.14|0|0|4.16|0.01|0.01|0.01|0.01|0|0|0.01|0|0|58.2|16.62|27.19|58|58|58|0|0|58.2|0.1|0.1|0.1|0.1|0|0|0.1|0|16.62|0|10.39|25.89|25.89|25.89|||25.98|0.04|0.04|0.04|0.04|||0.04|0|1
INS_4055AR@US07|INS_4055AR@US07|INSCAP@US07|78|1|4055AR|4055AR|INS|US07|4|CHEP Service Center Clarksvill|AR|6248|14|160|41|0|11.34|2.95|3.04|25.81|25.81|3.22|3.22|3.22|0|0|11.34|4.06|4.06|4.06|4.06|0|0|4.06|0|0|884.4|230.06|237.24|251|251|251|0|0|884.4|316.7|316.7|316.7|316.7|0|0|316.7|0|41.29|0|25.81|20.11|20.11|20.11|||70.87|25.38|25.38|25.38|25.38|||25.38|0|1
INS_4055AR@US08|INS_4055AR@US08|INSCAP@US08|34|1|4055AR|4055AR|INS|US08|4|CHEP Service Center Los Lunas|NM|2700|1|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
INS_4055AR@US17|INS_4055AR@US17|INSCAP@US17|141|1|4055AR|4055AR|INS|US17|4|CHEP Service Center Hermiston|OR|11310|14|160|38|0|10.57|2.73|2.88|23.88|23.88|2.41|2.41|2.41|0|0|10.57|4.08|4.08|4.08|4.08|0|0|4.08|0|0|1490.5|384.78|406.67|340.3|340.3|340.3|0|0|1490.5|575.1|575.1|575.1|575.1|0|0|575.1|0|38.2|0|23.88|15.08|15.08|15.08|||66.07|25.49|25.49|25.49|25.49|||25.49|0|1
INS_4055AR@US18|INS_4055AR@US18|INSCAP@US18|114|0.7|4055AR|4055AR|INS|US18|4|CHEP Service Center Loveland|CO|9120|14|160|56|0|15.27|4|4.08|35|35|5.15|5.15|5.15|0|0|15.27|5.06|5.06|5.06|5.06|0|0|5.06|0|0|1218.21|319.23|325.64|411.11|411.11|411.11|0|0|1218.21|403.55|403.55|403.55|403.55|0|0|403.55|0|56.01|0|35|32.2|32.2|32.2|||95.41|31.61|31.61|31.61|31.61|||31.61|0|1
INS_4055AR@US18|INS_4055RUPLUS@US18|INSCAP@US18|114|0.3|4055AR|4055RUPLUS|INS|US18|4|CHEP Service Center Loveland|CO|9120|14|160|56|0|15.27|4|4.08|35|35|5.15|5.15|5.15|0|0|15.27|5.06|5.06|5.06|5.06|0|0|5.06|0|0|522.09|136.81|139.56|176.19|176.19|176.19|0|0|522.09|172.95|172.95|172.95|172.95|0|0|172.95|0|56.01|0|35|32.2|32.2|32.2|||95.41|31.61|31.61|31.61|31.61|||31.61|0|1
INS_4055AR@US1L|INS_4055AR@US1L|INSCAP@US1L|101|0.519|4055AR|4055AR|INS|US1L|4|CHEP(P) - Scottsville|KY|8040|14|160|37|0|9.95|2.62|2.67|22.9|22.9|3.61|3.61|3.61|0|0|9.95|3.17|3.17|3.17|3.17|0|0|3.17|0|0|521.65|137.18|139.86|189.38|189.38|189.38|0|0|521.65|166.13|166.13|166.13|166.13|0|0|166.13|0|36.64|0|22.9|22.58|22.58|22.58|||62.2|19.81|19.81|19.81|19.81|||19.81|0|1
INS_4055AR@US1L|INS_4055RUPLUS@US1L|INSCAP@US1L|101|0.481|4055AR|4055RUPLUS|INS|US1L|4|CHEP(P) - Scottsville|KY|8040|14|160|37|0|9.95|2.62|2.67|22.9|22.9|3.61|3.61|3.61|0|0|9.95|3.17|3.17|3.17|3.17|0|0|3.17|0|0|483.45|127.13|129.62|175.52|175.52|175.52|0|0|483.45|153.97|153.97|153.97|153.97|0|0|153.97|0|36.64|0|22.9|22.58|22.58|22.58|||62.2|19.81|19.81|19.81|19.81|||19.81|0|1
INS_4055AR@US1M|INS_4055AR@US1M|INSCAP@US1M|500|0.636|4055AR|4055AR|INS|US1M|2|IFCO - Wilmington|MA|40000|14|160|92|0|16|6.55|6.29|57.35|57.35|16|9.31|9|0|0|16|12.69|10.69|7.99|9.79|0|0|0.27|0|0|5088|2084.13|1998.81|5088|2961.22|2862|0|0|5088|4036.08|3400.08|2541.48|3113.88|0|0|87.12|0|91.75|0|57.35|100|58.2|56.25|||100|79.33|66.83|49.95|61.2|||1.71|0|1
