SOURCING|SOURCE|DEST|EFF|ITEM|VALUE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|TRANSITTIME|DISTANCE|U_RATE_TYPE|COST_PALLET|CTIER_VALUE|CT_ET|LS_ET|LD_ET|RUNEW_ALLOWED|DEST_MAX_SRC|DEST_MAX_DIST|MANDLOC|MANDLOC_2|MANDLOC_3|MANDLOC_4|FORBLOC|FORBLOC_2|FORBLOC_3|EXCLLOC|EXCLLOC_2|EXCLLOC_3
ISS2MAXDISTSRC-5ZIP|USNE|3000000132|24-FEB-16|4055RUPLUS|0|33811|29812| | |1|425|A|309|0.644|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USYO|3000000132|24-FEB-16|4055RUPLUS|0|33811|29812| | |1|425|A|309|0.644|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|24-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|25-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|26-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|27-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|28-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|29-FEB-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|01-MAR-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|02-MAR-16|4055RUPLUS|0.1|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|03-MAR-16|4055RUPLUS|0.1|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|04-MAR-16|4055RUPLUS|0.1|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|05-MAR-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|06-MAR-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|07-MAR-16|4055RUPLUS|0.1|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|USZA|3000000132|08-MAR-16|4055RUPLUS|0|32226|29812| | |0|220|A|500|1.042|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-3ZIP|UT08|3000000132|24-FEB-16|4055RUPLUS|0| | |292|298|0.14|65.03|U|380.56|10|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|24-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|25-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|26-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|27-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|28-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|29-FEB-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|01-MAR-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|02-MAR-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|03-MAR-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|04-MAR-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
ISS2MAXDISTSRC-5ZIP|UT11|3000000132|05-MAR-16|4055RUPLUS|0|29047|29812| | |0|56|A|376|0.783|VN||VN|N|3|800||||||||||
