NEEDARRIVDATE|CNT->|CNT_M|CNT_U|CNT_NE|CNT_DM|CNT_DU|CNT_DNE|QTY->|QTY_M|QTY_U|QTY_NE|QTY_DM|QTY_DU|QTY_DN|TOTALS->  |TOT_ORD_CNT|TOT_DEL_CNT|TOT_ORD_QTY|TOT_DEL_QTY|Percent->|PERCENT_CNT|PERCENT_QTY|MET INFO=>|CO_CNT|PA_CNT|CO_QTY|PA_QTY|DEL_CNT|PD_CNT|DEL_QTY|PD_QTY|%MET INFO=>|%CO_MET|%CO_QTY_MET|%DEL_MET|%DELQTY_MET
24-FEB-16||2|0|0|935|158|85||1140|0|0|519510|86725|45106||2|1178|1140|651341||86.6|86.7||4|2|2280|1140|1951|1178|1060964|651341||50|50|60.38|61.39
25-FEB-16||0|0|1|1371|308|188||0|0|570|755410|172742|100145||1|1867|570|1028297||83.5|83.2||1|1|570|570|2053|1867|1125938|1028297||100|100|90.94|91.33
26-FEB-16||334|429|63|753|177|145||184203|232187|31805|417858|99422|80706||826|1075|448195|597986||68.1|68.3||929|826|504664|448195|1154|1075|639747|597986||88.91|88.81|93.15|93.47
27-FEB-16||60|71|1|183|15|44||33384|39850|570|104100|8490|25020||132|242|73804|137610||77|77.1||234|132|131032|73804|329|242|186070|137610||56.41|56.33|73.56|73.96
28-FEB-16||21|25|7|88|4|2||11970|13880|3990|50160|2280|1080||53|94|29840|53520||80.3|80.6||169|53|94754|29840|115|94|65460|53520||31.36|31.49|81.74|81.76
29-FEB-16||647|495|120|283|39|70||363519|276879|67496|159066|21460|32714||1262|392|707894|213240||67.7|67.6||1353|1262|759543|707894|421|392|229515|213240||93.27|93.2|93.11|92.91
01-MAR-16||610|393|109|262|31|34||343875|219868|61023|146242|16982|18705||1112|327|624766|181929||70.5|70.6||1146|1112|643422|624766|342|327|189779|181929||97.03|97.1|95.61|95.86
02-MAR-16||641|397|89|270|30|44||361688|223300|49520|151912|17100|25080||1127|344|634508|194092||71|71||1153|1126|649076|633938|360|344|203036|194092||97.66|97.67|95.56|95.59
03-MAR-16||607|361|89|268|27|44||341721|203780|50220|150500|14822|24622||1057|339|595721|189944||72.2|72.2||1078|1057|607601|595721|354|339|198494|189944||98.05|98.04|95.76|95.69
04-MAR-16||631|371|95|247|24|47||353876|207750|53838|139184|13470|25842||1097|318|615464|178496||72.1|72.1||1113|1097|625014|615464|335|318|187760|178496||98.56|98.47|94.93|95.07
05-MAR-16||123|100|19|100|0|20||69956|56488|10710|56830|0|11400||242|120|137154|68230||72.4|72.5||316|242|179208|137154|142|120|80770|68230||76.58|76.53|84.51|84.47
06-MAR-16||13|13|0|12|0|1||7410|6960|0|6840|0|570||26|13|14370|7410||66.7|68||65|26|36384|14370|17|13|9690|7410||40|39.5|76.47|76.47
07-MAR-16||156|85|27|28|1|5||87022|47130|15150|15032|442|2540||268|34|149302|18014||71.5|71.6||274|268|152662|149302|38|34|20186|18014||97.81|97.8|89.47|89.24
08-MAR-16||131|78|13|20|0|2||72440|43644|7230|9880|0|1140||222|22|123314|11020||68|67.5||223|222|123884|123314|23|22|11590|11020||99.55|99.54|95.65|95.08
