RUNDATE|PLANNDAY|NEEDARRIVDATE|PERCENT_P1_MATCH_QTY|AVG_COST|AVG_MILAGE|PERCENT_ORDERS_MET|000-049|050-099|100-149|150-199|200-249|250-299|300-349|350-399|400-499|450-499|500+|TOT_LOADS|TOT_QTY
2016-02-24|0|2016-02-24|86.7|0|0|50|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-24|1|2016-02-25|83.2|537|205|100|0|0|0|0|100|0|0|0|0|0|0|1|570
2016-02-24|2|2016-02-26|68.3|461.88|112.37|88.91|36.8688|19.8817|14.799|12.3822|6.4413|1.9367|1.9209|1.3517|0.6704|0.4005|2.3958|765|419482
2016-02-24|3|2016-02-27|77.1|469.66|176.08|56.41|34.4293|20.3076|6.9252|4.4452|3.5562|9.7795|6.4261|1.7781|0.889|0.889|10.5749|115|64114
2016-02-24|4|2016-02-28|80.6|480.29|115.38|31.36|58.8884|0|16.9283|2.4183|2.4183|4.8367|0|14.51|0|0|0|42|23570
2016-02-24|5|2016-02-29|67.6|444.51|85.78|93.27|42.6839|23.6918|13.1188|9.4213|5.7906|2.9487|0.436|0.2616|0.2616|0.0872|0.2616|1166|653720
2016-02-24|6|2016-03-01|70.6|444.29|108.06|97.03|41.8195|22.4535|11.5697|7.2899|3.6532|4.0883|1.8497|1.5655|0.4908|1.0747|2.9671|1033|580636
2016-02-24|7|2016-03-02|71|443.97|108|97.66|43.6542|19.8176|10.5005|9.3934|3.3173|3.8013|1.6133|2.1074|1.5276|1.1444|1.9837|1056|595058
2016-02-24|8|2016-03-03|72.2|442.49|105.88|98.05|43.4845|18.901|11.687|10.3558|4.1257|3.7143|1.325|1.554|0.7197|0.8288|2.1647|976|550203
2016-02-24|9|2016-03-04|72.1|437.39|98.06|98.56|45.8724|19.7204|10.0561|9.548|3.647|3.9519|0.9762|0.8927|0.9867|1.0911|1.681|1025|574664
2016-02-24|10|2016-03-05|72.5|440.65|135.59|76.58|51.0732|12.1066|6.0796|3.6412|1.8706|7.9502|7.0149|1.8706|1.403|0.9353|5.1442|215|121884
2016-02-24|11|2016-03-06|68|402.24|80.14|40|80.6616|0|4.8346|0|0|9.6692|0|0|0|0|4.8346|21|11790
2016-02-24|12|2016-03-07|71.6|439.9|87.88|97.81|39.4048|25.7468|12.8488|9.8028|7.4468|3.1512|0|0.7994|0|0|0|256|142612
2016-02-24|13|2016-03-08|67.5|429.58|115.75|99.55|37.4218|25.0067|10.6237|9.4934|5.6768|2.8763|2.296|1.4129|0.4794|3.7795|0.9335|214|118904

