STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
0|3019613033000250|3657110266000010|4055RUCUST|US8X|SOUTH RIVER|NJ|4000062601|HAZLETON|PA|08882|18202|088|182|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|UNMET|2016-03-01|570|Z1AA|Z1|08882|18202|100|||100|2|0
0|3019657709000250|3657166205000010|4055RUCUST|US8X|SOUTH RIVER|NJ|4000062601|HAZLETON|PA|08882|18202|088|182|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|UNMET|2016-03-01|570|Z1AA|Z1|08882|18202|100|||100|2|0
0|3019608473000010||4055RUCUST|US9X|ORLANDO|FL|4000119673|CLEVELAND|TN|32819|37323|328|373|2016-03-03||2016-03-03||570|UNMET|2016-03-01|570|Z1AA|Z2|32819|37323|100|||100|2|0
9|3019602199000010|3657140728000010|4055RUCUST|USQW|VANCE|AL|4000125024|MIDDLESBORO|KY|35490|40965|354|409|2016-03-01|2016-03-01|2016-03-01|2016-02-29|540|UNPLANNED|2016-03-01|540|Z1AA|Z2|35490|40965|354|||1050|2|0
2|3019602200000010|3657162657000010|4055RUCUST|USQW|VANCE|AL|4000125024|MIDDLESBORO|KY|35490|40965|354|409|2016-03-03|2016-03-03|2016-03-03|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|35490|40965|354|||1050|2|0
0|3019602207000010||4055RUCUST|US9X|ORLANDO|FL|4000125024|MIDDLESBORO|KY|32819|40965|328|409|2016-03-15||2016-03-15||570|UNMET|2016-03-01|570|Z1AA|Z2|32819|40965|100|||100|2|0
0|3019602204000010||4055RUCUST|US9X|ORLANDO|FL|4000125024|MIDDLESBORO|KY|32819|40965|328|409|2016-03-08||2016-03-08||570|UNMET|2016-03-01|570|Z1AA|Z2|32819|40965|100|||100|2|0
0|3019602205000010||4055RUCUST|US9X|ORLANDO|FL|4000125024|MIDDLESBORO|KY|32819|40965|328|409|2016-03-10||2016-03-10||570|UNMET|2016-03-01|570|Z1AA|Z2|32819|40965|100|||100|2|0
9|3019613789000310|3657128114000010|4055RUCUST|UT3C|INDIANAPOLIS|IN|4000131782|ANDERSON|IN|46241|46013|462|460|2016-03-01|2016-03-01|2016-03-01|2016-02-29|540|UNPLANNED|2016-03-01|540|Z1AA|Z2|46241|46013|100|||100|2|0
2|3019613789000260|3657128118000010|4055RUCUST|UT3C|INDIANAPOLIS|IN|4000131782|ANDERSON|IN|46241|46013|462|460|2016-03-02|2016-03-02|2016-03-02|2016-03-01|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|46241|46013|100|||100|2|0
