STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
0|3019582855000001|3657097441000010|4055RUCUST|USA4|FAIRDALE|KY|4000000343|KIMPER|KY|40118|41539|401|415|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z2|40118|41539|100|||100
0|3019568366000250|3657054444000010|4055RUCUST|US8X|SOUTH RIVER|NJ|4000062601|HAZLETON|PA|08882|18202|088|182|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570| |2016-02-24|570|Z1AA|Z1|08882|18202|100|||100
0|3019613033000250|3657110266000010|4055RUCUST|US8X|SOUTH RIVER|NJ|4000062601|HAZLETON|PA|08882|18202|088|182|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570| |2016-02-24|570|Z1AA|Z1|08882|18202|100|||100
0|3019582172000010|3657090351000010|4055RUCUST|UT44|SAINT LOUIS|MO|4000117187|SAINT LOUIS|MO|63114|63114|631|631|2016-02-23|2016-02-23|2016-02-23|2016-02-23|570| |2016-02-24|570|Z1AA|Z2|63114|63114|100|||100
0|3019608473000010||4055RUCUST|US9X|ORLANDO|FL|4000119673|CLEVELAND|TN|32819|37323|328|373|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|37323|100|||100
0|3019608459000010||4055RUCUST|US9X|ORLANDO|FL|4000119673|CLEVELAND|TN|32819|37323|328|373|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|37323|100|||100
0|3019581860000010||4055RUCUST|US9X|ORLANDO|FL|4000119673|CLEVELAND|TN|32819|37323|328|373|2016-02-25||2016-02-25||570| |2016-02-24|570|Z1AA|Z2|32819|37323|100|||100
0|3019250634000010|3657085116000010|4055RUCUST|USQW|VANCE|AL|4000125024|MIDDLESBORO|KY|35490|40965|354|409|2016-02-23|2016-02-23|2016-02-23|2016-02-22|570| |2016-02-24|570|Z1AA|Z2|35490|40965|100|||100
2|3019250635000010|3657106550000010|4055RUCUST|USQW|VANCE|AL|4000125024|MIDDLESBORO|KY|35490|40965|354|409|2016-02-25|2016-02-25|2016-02-25|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|35490|40965|354|||1050
0|3019602200000010||4055RUCUST|US9X|ORLANDO|FL|4000125024|MIDDLESBORO|KY|32819|40965|328|409|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|40965|100|||100
