STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW|SM417_RECNUM|SM417_EFF|SOURCING|MINLEADTIME|DUR
2|129507|4055RUPLUS|4000130398|2016-02-24|2016-02-24|2016-02-24|3019568765000070|570|Z1AA|Z2|ISS|3019568765000070|3657102179000010|4000130398|USHD|570|4055RUPLUS|USHD|A|0|0|129726|24-FEB-16|ISS9DEL|0|1440
5|96683|4001AI|4000130449|2016-02-25|2016-02-25|2016-02-25|3129252002000010|540|Z1BA|Z2|COL|3129252002000010|3750372650000010|UT32|4000130449|540|4001AI|UT32|A|0|0|96835|25-FEB-16|COL9DEL|0|1440
2|129688|4055RUPLUS|4000131279|2016-02-24|2016-02-24|2016-02-24|3019575354000010|570|Z1AA|Z2|ISS|3019575354000010|3657102158000010|4000131279|USK5|570|4055RUPLUS|USK5|A|0|0|129907|24-FEB-16|ISS9DEL|0|1440
2|129752|4055RUPLUS|4000131339|2016-02-24|2016-02-24|2016-02-24|3019574074000003|570|Z1AA|Z2|ISS|3019574074000003|3657063708000010|4000131339|USIR|570|4055RUPLUS|USIR|A|0|0|129971|24-FEB-16|ISS9DEL|0|1440
2|129862|4055RUPLUS|4000131684|2016-02-24|2016-02-24|2016-02-24|3019569188000020|570|Z1AA|Z2|ISS|3019569188000020|3657102279000010|4000131684|USG8|570|4055RUPLUS|USG8|A|0|0|130081|24-FEB-16|ISS9DEL|0|1440
2|118275|4055RUCUST|4000131782|2016-02-24|2016-02-23|2016-02-24|3019569095000260|570|Z1AA|Z2|ISS|3019569095000260|3657071338000010|4000131782|UT3C|570|4055RUNEW|UT3C|A|0|0|118472|24-FEB-16|XMATCH|0|1440
2|118277|4055RUCUST|4000131782|2016-02-26|2016-02-25|2016-02-26|3019569095000280|570|Z1AA|Z2|ISS|3019569095000280|3657071349000010|4000131782|UT3C|570|4055RUCUST|UT3C|A|0|0|118474|25-FEB-16|ISS9DEL|1440|1440
2|130270|4055RUPLUS|4000133661|2016-02-23|2016-02-23|2016-02-23|3019595055000010|570|Z1AA|Z2|ISS|3019595055000010|3657089560000010|4000133661|USGL|570|4055RUPLUS|USGL|A|0|0|130489|23-FEB-16|ISS9DEL|0|1440
5|26782|4001AI|4000133784|2016-02-23|2016-02-23|2016-02-23|3129239936000010|134|Z1BA|Z2|COL|3129239936000010|3750358981000010|USFK|4000133784|134|4001AI|USFK|A|0|0|26808|23-FEB-16|COL9DEL|0|1440
2|130315|4055RUPLUS|4000133982|2016-02-24|2016-02-24|2016-02-24|3019583849000010|570|Z1AA|Z2|ISS|3019583849000010|3657095837000010|4000133982|USQ4|570|4055RUPLUS|USQ4|A|0|0|130534|24-FEB-16|ISS9DEL|0|1440
2|130363|4055RUPLUS|4000134357|2016-02-23|2016-02-23|2016-02-23|3019569985000010|570|Z1AA|Z2|ISS|3019569985000010|3657095166000010|4000134357|USGA|570|4055RUPLUS|USGA|A|0|0|130582|23-FEB-16|ISS9DEL|0|1440
