RUNDATE|NEEDARRIVDATE|PLANNDAY|000-049|050-099|100-149|150-199|200-249|250-299|300-349|350-399|400-499|450-499|500+|TOT_LOADS|TOT_QTY|AVG_DAILY_QTY|TOTAL_MILAGE|AVG_MILAGE|STDDEV_MILAGE|TOTAL_COST|AVG_COST|STDDEV_COST|AVG_COST_PER_MILE|AVG_COST_PER_LOAD|AVG_COST_PER_PALLET
17-FEB-16|17-FEB-16|0|25.3333|49.3333|25.3333|0|0|0|0|0|0|0|0|4|2250|562.5|266|66.5|50.89|1602|400.5|90.61|6.02|400.5|0.71
17-FEB-16|18-FEB-16|1|0|100|0|0|0|0|0|0|0|0|0|1|570|570|66|66|0|450|450|0|6.82|450|0.79
17-FEB-16|19-FEB-16|2|40.1954|22.2282|11.2759|9.597|4.1629|3.5838|1.6232|0.4125|0.6589|0.3053|3.954|685|373346|545.03|74665.4|109|132.07|304129|443.98|200.05|4.07|443.98|0.81
17-FEB-16|20-FEB-16|3|19.0292|5.2399|4.9458|8.7332|0|19.2131|12.0427|5.2399|0|0|25.5562|59|32634|553.12|17910|303.56|220.06|33498|567.76|393.65|1.87|567.76|1.03
17-FEB-16|21-FEB-16|4|46.6667|6.6667|6.6667|0|0|0|0|40|0|0|0|15|8550|570|2739|182.6|169.43|9167|611.13|249.16|3.35|611.13|1.07
17-FEB-16|22-FEB-16|5|41.4322|21.5736|15.3913|10.4224|5.0482|3.3397|0.2712|0|0.2712|0|0.3616|1130|630603|558.06|97887.89|86.63|83.96|502996|445.13|194.42|5.14|445.13|0.8
17-FEB-16|23-FEB-16|6|41.4988|19.6888|13.4522|8.2169|4.4347|4.9666|1.612|1.4585|0.7292|0.5154|2.4893|975|547139|561.17|104813|107.5|122.98|426094|437.02|189.53|4.07|437.02|0.78
17-FEB-16|24-FEB-16|7|41.5509|17.1575|13.4263|11.0903|4.2507|3.9748|0.9913|1.2903|1.2955|1.0962|2.4862|1017|571959|562.4|113288.3|111.39|134.61|448128|440.64|191.55|3.96|440.64|0.78
17-FEB-16|25-FEB-16|8|43.4568|18.3111|14.3075|9.1465|4.385|4.0616|1.1815|1.0741|0.6445|0.424|1.9334|943|530674|562.75|96226|102.04|126.84|413187|438.16|195.24|4.29|438.16|0.78
17-FEB-16|26-FEB-16|9|48.1594|16.1393|11.8438|9.7072|4.4545|3.7494|0.8369|0.7323|0.8369|0.7323|1.5636|971|544882|561.16|92857.3|95.63|118.44|421994|434.6|183.07|4.54|434.6|0.77
17-FEB-16|27-FEB-16|10|15.3324|6.445|6.445|3.867|0|14.1791|18.0461|6.445|3.867|5.156|20.2171|79|44220|559.75|25815.9|326.78|224.23|40374|511.06|392.8|1.56|511.06|0.91
17-FEB-16|28-FEB-16|11|66.6667|0|33.3333|0|0|0|0|0|0|0|0|3|1710|570|179|59.67|59.79|967|322.33|149.75|5.4|322.33|0.57
17-FEB-16|29-FEB-16|12|42.1167|23.0257|15.2274|8.5576|10.1076|0.4825|0|0|0|0|0|211|118129|559.85|17640|83.6|69.3|87474|414.57|153.4|4.96|414.57|0.74
17-FEB-16|01-MAR-16|13|35.8223|28.1256|17.6689|8.5422|2.1356|1.4237|2.1356|1.3862|0.6244|2.1356|0|145|80073|552.23|14114|97.34|99.28|62081|428.14|155.87|4.4|428.14|0.78
