NEEDARRIVDATE|CNT_M|CNT_U|CNT_NE|CNT_DM|CNT_DU|CNT_DNE|QTY_M|QTY_U|QTY_NE|QTY_DM|QTY_DU|QTY_DN|TOT_ORD_CNT|TOT_DEL_CNT|TOT_ORD_QTY|TOT_DEL_QTY|PERCENT_CNT|PERCENT_QTY
17-FEB-16|2|4|0|908|172|104|1140|1725|0|500446|95726|56512|6|1184|2865|652684|85.2|85.1
18-FEB-16|1|2|0|1393|268|198|570|1140|0|773014|148503|106672|3|1859|1710|1028189|85.5|85.5
19-FEB-16|308|413|39|833|179|149|169354|221969|21092|459646|99794|82268|760|1161|412415|641708|69.2|69.5
20-FEB-16|53|87|8|197|10|40|30060|48450|4404|111670|5640|22470|148|247|82914|139780|75.4|75.7
21-FEB-16|26|34|7|86|0|1|14730|18870|3990|49020|0|570|67|87|37590|49590|77.9|78.4
22-FEB-16|608|572|96|270|31|104|341644|316852|53128|150458|16966|45034|1276|405|711624|212458|64.1|63.9
23-FEB-16|580|420|103|246|27|39|325639|235280|57580|136300|14860|21294|1103|312|618499|172454|68.4|68.4
24-FEB-16|605|444|90|252|30|45|338670|250645|50678|141632|16502|25620|1139|327|639993|183754|67.7|67.6
25-FEB-16|625|360|86|245|22|43|351170|202848|48710|137698|12130|24472|1071|310|602728|174300|72.3|72.3
26-FEB-16|645|364|91|234|23|45|362677|203511|51648|130560|12772|25372|1100|302|617836|168704|72.4|72.5
27-FEB-16|108|107|19|104|0|20|61466|59880|10770|59110|0|11400|234|124|132116|70510|70.1|70.4
28-FEB-16|18|15|0|11|0|1|9510|8280|0|6270|0|570|33|12|17790|6840|66.7|66.4
29-FEB-16|135|72|33|29|1|23|75589|39768|18570|15316|570|7610|240|53|133927|23496|75.1|74.4
01-MAR-16|118|33|10|17|1|0|65193|18150|5490|8918|442|0|161|18|88833|9360|81|81.1
