STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW
2|53702|4055RUPLUS|6101010569|2016-02-26|2016-02-26|2016-02-26|3019569259000140|570|Z1AA|Z1|CPU|3019569259000140|3657059042000010|6101010569|UT1K|570|4055RUPLUS|UT1K|A|0|0
2|53702|4055RUPLUS|6101010569|2016-02-26|2016-02-26|2016-02-26|3019569259000150|570|Z1AA|Z1|CPU|3019569259000150|3657059050000010|6101010569|UT1K|570|4055RUPLUS|UT1K|A|0|0
2|13025|4055RUPLUS|4000161152|2016-02-19|2016-02-19|2016-02-19|3019354084000030|570|Z1AA|Z1|CPU|3019354084000030|3656871633000010|4000161152|USNQ|570|4055RUPLUS|USNQ|A|0|0
2|13272|4055RUPLUS|4000162200|2016-02-18|2016-02-18|2016-02-18|3019566044000010|570|Z1AA|Z2|ISS|3019566044000010|3657056244000010|4000162200|UT33|570|4055RUPLUS|UT33|A|0|0
0|0|4055RUPLUS|4000162831|2016-02-18|2016-02-18|2016-02-18|3019565410000001|570|Z1AA|Z2|ISS|3019565410000001|3657056823000010|4000162831|USID|570|4055RUPLUS||A|0|0
2|13420|4055RUPLUS|4000162836|2016-02-18|2016-02-17|2016-02-18|3019549680000010|570|Z1AA|Z2|ISS|3019549680000010|3657051390000010|4000162836|USB5|570|4055RUPLUS|USB5|A|0|0
2|13466|4055RUPLUS|4000162842|2016-02-25|2016-02-25|2016-02-25|3019528425000070|570|Z1AA|Z2|ISS|3019528425000070|3657019180000010|4000162842|USWT|570|4055RUPLUS|USWT|A|0|0
2|16849|4055RUPLUS|4000183158|2016-02-17|2016-02-17|2016-02-17|3019527434000220|570|Z1AA|Z2|ISS|3019527434000220|3657052210000010|4000183158|UT2W|570|4055RUPLUS|UT2W|A|0|0
2|16857|4055RUPLUS|4000183169|2016-02-18|2016-02-18|2016-02-18|3019564819000010|570|Z1AA|Z2|ISS|3019564819000010|3657060678000010|4000183169|US6T|570|4055RUPLUS|US6T|A|0|0
2|16955|4055RUPLUS|4000183524|2016-02-17|2016-02-16|2016-02-17|3019527408000490|570|Z1AA|Z2|ISS|3019527408000490|3657017002000010|4000183524|UT3C|570|4055RUPLUS|UT3C|A|0|0
2|16956|4055RUPLUS|4000183524|2016-02-18|2016-02-17|2016-02-18|3019527408000250|570|Z1AA|Z2|ISS|3019527408000250|3657017004000010|4000183524|UT3C|570|4055RUPLUS|UT3C|A|0|0
2|17026|4055RUPLUS|4000183759|2016-02-19|2016-02-18|2016-02-19|3019565507000010|570|Z1AA|Z2|ISS|3019565507000010|3657053176000010|4000183759|UT74|570|4055RUPLUS|UT74|A|0|0
2|17280|4055RUPLUS|4000185609|2016-02-18|2016-02-18|2016-02-18|3019534199000010|570|Z1AA|Z2|ISS|3019534199000010|3657056917000010|4000185609|UT43|570|4055RUPLUS|UT43|A|0|0
2|17570|4055RUPLUS|4000187812|2016-02-17|2016-02-17|2016-02-17|3019527457000110|570|Z1AA|Z1|CPU|3019527457000110|3657005329000010|4000187812|USA6|570|4055RUPLUS|USA6|A|0|0
2|17572|4055RUPLUS|4000187812|2016-02-19|2016-02-19|2016-02-19|3019527457000140|570|Z1AA|Z1|CPU|3019527457000140|3657005345000010|4000187812|USA6|570|4055RUPLUS|USA6|A|0|0
2|17574|4055RUPLUS|4000187812|2016-02-23|2016-02-23|2016-02-23|3019569069000090|570|Z1AA|Z1|CPU|3019569069000090|3657058827000010|4000187812|USA6|570|4055RUPLUS|USA6|A|0|0
