STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|67035|4055RUPLUS|6101054110|2016-02-18|2016-02-18|2016-02-18|3019526784000040|570|Z1AA|Z2|ISS|3019526784000040|3657020984000010|6101054110|USFD|570|4055RUPLUS|USFD|A|0
2|67135|4055RUPLUS|6101057849|2016-02-16|2016-02-16|2016-02-16|3019526266000040|570|Z1AA|Z2|ISS|3019526266000040|3657018346000010|6101057849|US8X|570|4055RUPLUS|US8X|A|0
2|67140|4055RUPLUS|6101057849|2016-02-20|2016-02-20|2016-02-20|3019526266000230|570|Z1AA|Z2|ISS|3019526266000230|3657018350000010|6101057849|US8X|570|4055RUPLUS|US8X|A|0
2|67195|4055RUPLUS|6101061291|2016-02-16|2016-02-16|2016-02-16|3019430425000010|570|Z1AA|Z2|ISS|3019430425000010|3657040470000010|6101061291|US1Q|570|4055RUPLUS|US1Q|A|0
2|6746|4055RUPLUS|4000090683|2016-02-16|2016-02-16|2016-02-16|3019526581000120|570|Z1AA|Z1|CPU|3019526581000120|3657001550000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0
2|6746|4055RUPLUS|4000090683|2016-02-16|2016-02-16|2016-02-16|3019526581000670|570|Z1AA|Z1|CPU|3019526581000670|3657001564000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0
2|7151|4055RUPLUS|4000093579|2016-02-15|2016-02-15|2016-02-15|3019541750000001|285|Z1AA|Z2|ISS|3019541750000001|3657024500000010|4000093579|USE1|285|4055RUPLUS|USE1|A|0
2|7325|4055RUPLUS|4000095359|2016-02-15|2016-02-15|2016-02-15|3019526599000010|570|Z1AA|Z2|ISS|3019526599000010|3657024134000010|4000095359|USG8|570|4055RUPLUS|USG8|A|0
2|7360|4055RUPLUS|4000095363|2016-02-17|2016-02-16|2016-02-17|3019526712000230|570|Z1AA|Z2|ISS|3019526712000230|3657019917000010|4000095363|UT18|570|4055RUPLUS|UT18|A|0
2|7479|4055RUPLUS|4000095889|2016-02-19|2016-02-19|2016-02-19|3019528209000060|570|Z1AA|Z2|ISS|3019528209000060|3657031654000010|4000095889|USXP|570|4055RUPLUS|USXP|A|0
2|7756|4055RUPLUS|4000097838|2016-02-17|2016-02-17|2016-02-17|3019555754000010|570|Z1AA|Z2|ISS|3019555754000010|3657041304000010|4000097838|USXJ|570|4055RUPLUS|USXJ|A|0
2|9356|4055RUPLUS|4000112833|2016-02-16|2016-02-16|2016-02-16|3019540761000010|570|Z1AA|Z2|ISS|3019540761000010|3657030921000010|4000112833|UT74|570|4055RUPLUS|UT74|A|0
2|9370|4055RUPLUS|4000113666|2016-02-16|2016-02-16|2016-02-16|3019526737000040|570|Z1AA|Z2|ISS|3019526737000040|3657035450000010|4000113666|USA7|570|4055RUPLUS|USA7|A|0
2|9465|4055RUPLUS|4000114102|2016-02-16|2016-02-15|2016-02-16|3019524452000001|570|Z1AA|Z2|ISS|3019524452000001|3657024050000010|4000114102|USXG|570|4055RUPLUS|USXG|A|0
0|0|4055RUNEW|4000114384|2016-02-15|2016-02-14|2016-02-15|3019524566000010|280|Z1AA|Z1|CPU|3019524566000010|3656999701000010|4000114384|USCE|280|4055RUNEW||A|0
2|152|4055RUNEW|4000114384|2016-02-22|2016-02-21|2016-02-22|3019527419000010|280|Z1AA|Z1|CPU|3019527419000010|3657005229000010|4000114384|USCE|280|4055RUNEW|USCE|A|0
2|152|4055RUNEW|4000114384|2016-02-22|2016-02-21|2016-02-22|3019527406000010|280|Z1AA|Z1|CPU|3019527406000010|3657005230000010|4000114384|USCE|280|4055RUNEW|USCE|A|0
2|152|4055RUNEW|4000114384|2016-02-22|2016-02-21|2016-02-22|3019527411000010|280|Z1AA|Z1|CPU|3019527411000010|3657005232000010|4000114384|USCE|280|4055RUNEW|USCE|A|0
2|7777|4055RUPLUS|4000098001|2016-02-16|2016-02-16|2016-02-16|3019528364000220|570|Z1AA|Z2|ISS|3019528364000220|3657029794000010|4000098001|USA3|570|4055RUPLUS|USA3|A|0
2|7779|4055RUPLUS|4000098001|2016-02-18|2016-02-18|2016-02-18|3019528364000140|570|Z1AA|Z2|ISS|3019528364000140|3657029798000010|4000098001|USA3|570|4055RUPLUS|USA3|A|0
2|7983|4055RUPLUS|4000099737|2016-02-15|2016-02-15|2016-02-15|3019549366000010|570|Z1AA|Z2|ISS|3019549366000010|3657042838000010|4000099737|UT2J|570|4055RUPLUS|UT2J|A|0
2|8145|4055RUPLUS|4000100780|2016-02-16|2016-02-16|2016-02-16|3019295558000010|570|Z1AA|Z2|ISS|3019295558000010|3657030758000010|4000100780|USA6|570|4055RUPLUS|USA6|A|0
2|8145|4055RUPLUS|4000100780|2016-02-16|2016-02-16|2016-02-16|3019295554000010|570|Z1AA|Z2|ISS|3019295554000010|3657030828000010|4000100780|USA6|570|4055RUPLUS|USA6|A|0
2|64473|4055RUPLUS|6100789980|2016-02-17|2016-02-17|2016-02-17|3019526853000290|570|Z1AA|Z2|ISS|3019526853000290|3657041450000010|6100789980|USYH|570|4055RUPLUS|USYH|A|0
2|64485|4055RUPLUS|6100790111|2016-02-16|2016-02-16|2016-02-16|3019526556000020|570|Z1AA|Z1|CPU|3019526556000020|3657001490000010|6100790111|UT32|570|4055RUPLUS|UT32|A|0
2|64496|4055RUPLUS|6100790969|2016-02-17|2016-02-16|2016-02-17|3019528171000040|570|Z1AA|Z2|ISS|3019528171000040|3657031013000010|6100790969|UT74|570|4055RUPLUS|UT74|A|0
2|64496|4055RUPLUS|6100790969|2016-02-17|2016-02-16|2016-02-17|3019528171000050|570|Z1AA|Z2|ISS|3019528171000050|3657031014000010|6100790969|UT74|570|4055RUPLUS|UT74|A|0
