RECNUM|ITEM|DEST|SOURCE|SCHEDARRIVDATE|SM_TOTQTY|REMAINDER|VL_QTY_USED|CO_QTY_USED|P1
766|4055RUPLUS|3000083527|USYZ|2016-02-24|7.2|7.2|0|0|0
767|4055RUPLUS|3000083527|USYZ|2016-02-25|7.2|7.2|0|0|0
768|4055RUPLUS|3000083527|USYZ|2016-02-26|14.4|14.4|0|0|0
769|4055RUPLUS|3000083527|USH3|2016-02-29|7.2|7.2|0|0|1
770|4055RUPLUS|3000083527|USH3|2016-03-01|7.2|7.2|0|0|1
771|4055RUPLUS|3000084699|US8X|2016-02-25|18.4|18.4|0|0|1
772|4055RUPLUS|3000084699|US8X|2016-02-26|18.4|18.4|0|0|1
773|4055RUPLUS|3000084699|US8X|2016-02-29|18.4|18.4|0|0|1
774|4055RUPLUS|3000084699|US8X|2016-03-01|18.4|18.4|0|0|1
775|4055RUPLUS|3000084750|USH3|2016-02-25|6.2|6.2|0|0|1
776|4055RUPLUS|3000084750|USH3|2016-02-26|6.2|6.2|0|0|1
777|4055RUPLUS|3000084750|USH3|2016-02-29|6.2|6.2|0|0|1
778|4055RUPLUS|3000084750|USH3|2016-03-01|6.2|6.2|0|0|1
779|4055RUPLUS|3000084776|US8Y|2016-02-17|1140|0|1140|0|1
780|4055RUPLUS|3000084776|US8Y|2016-02-18|1710|0|1710|0|1
781|4055RUPLUS|3000084776|US8Y|2016-02-19|1710|0|1710|0|1
782|4055RUPLUS|3000084776|USIT|2016-02-19|1722|1722|0|0|0
783|4055RUPLUS|3000084776|USIT|2016-02-22|1710|0|0|1710|0
784|4055RUPLUS|3000084776|USIT|2016-02-23|1793.6|83.6|0|1710|0
785|4055RUPLUS|3000084776|USIT|2016-02-24|1223.6|83.6|0|1140|0
786|4055RUPLUS|3000084776|USIT|2016-02-25|1793.6|83.6|0|1710|0
787|4055RUPLUS|3000084776|USIT|2016-02-26|3100.8|1390.8|0|1710|0
788|4055RUPLUS|3000084776|US8Y|2016-02-29|83.6|83.6|0|0|1
789|4055RUPLUS|3000084776|US8Y|2016-03-01|83.6|83.6|0|0|1
790|4055RUPLUS|3000085371|UT79|2016-02-26|46.4|46.4|0|0|0
791|4055RUPLUS|3000085371|UT1K|2016-02-29|46.4|46.4|0|0|1
792|4055RUPLUS|3000085371|UT79|2016-03-01|46.4|46.4|0|0|0
793|4055RUPLUS|3000086225|USKR|2016-02-23|1.1|1.1|0|0|0
