NEEDARRIVDATE|CNT->|CNT_M|CNT_U|CNT_NE|CNT_DM|CNT_DU|CNT_DNE|QTY->|QTY_M|QTY_U|QTY_NE|QTY_DM|QTY_DU|QTY_DN|TOTALS->  |TOT_ORD_CNT|TOT_DEL_CNT|TOT_ORD_QTY|TOT_DEL_QTY|Percent->|PERCENT_CNT|PERCENT_QTY|MET INFO=>|CO_CNT|PA_CNT|CO_QTY|PA_QTY|DEL_CNT|PD_CNT|DEL_QTY|PD_QTY|%MET INFO=>|%CO_MET|%CO_QTY_MET|%DEL_MET|%DELQTY_MET
2016-02-17||1|4|0|907|171|103||570|1725|0|499876|95156|55942||5|1181|2295|650974||85.2|85.2||8|5|4005|2295|1984|1181|1067515|650974||62.5|57.3|59.53|60.98
2016-02-18||1|0|0|1393|268|198||570|0|0|773014|148503|106672||1|1859|570|1028189||85.6|85.6||3|1|1710|570|2051|1859|1130368|1028189||33.33|33.33|90.64|90.96
2016-02-19||290|392|37|833|179|149||159460|210530|19952|459646|99794|82268||719|1161|389942|641708||69.6|69.9||845|719|458215|389942|1231|1161|678700|641708||85.09|85.1|94.31|94.55
2016-02-20||21|38|6|197|10|40||11910|20790|3354|111670|5640|22470||65|247|36054|139780||84.6|85||255|65|143420|36054|307|247|173950|139780||25.49|25.14|80.46|80.36
2016-02-21||7|8|6|86|0|1||3990|4560|3420|49020|0|570||21|87|11970|49590||92.6|92.6||178|21|99460|11970|104|87|59280|49590||11.8|12.03|83.65|83.65
2016-02-22||595|539|95|270|31|104||334547|298910|52558|150458|16966|45034||1229|405|686015|212458||65.1|64.8||1345|1229|750444|686015|438|405|231142|212458||91.38|91.41|92.47|91.92
2016-02-23||565|397|97|246|27|39||317287|222290|54160|136300|14860|21294||1059|312|593737|172454||69.1|69||1148|1058|643357|593167|323|312|178354|172454||92.16|92.2|96.59|96.69
2016-02-24||588|419|87|252|30|45||329250|236515|48968|141632|16502|25620||1094|327|614733|183754||68.4|68.3||1167|1094|655893|614733|344|327|192867|183754||93.74|93.72|95.06|95.27
2016-02-25||605|335|79|245|22|43||339986|188792|44790|137698|12130|24472||1019|310|573568|174300||73.1|73.1||1096|1019|616918|573568|325|310|182712|174300||92.97|92.97|95.38|95.4
2016-02-26||622|349|85|234|23|45||349627|194961|48228|130560|12772|25372||1056|302|592816|168704||72.6|72.7||1125|1056|632026|592816|317|302|177254|168704||93.87|93.8|95.27|95.18
2016-02-27||19|64|3|104|0|20||10770|35730|1710|59110|0|11400||86|124|48210|70510||69.5|69.9||339|86|191784|48210|133|124|75640|70510||25.37|25.14|93.23|93.22
2016-02-28||1|2|0|11|0|1||570|1140|0|6270|0|570||3|12|1710|6840||86.7|86.7||68|3|37680|1710|12|12|6840|6840||4.41|4.54|100|100
2016-02-29||128|64|32|29|1|23||71695|35358|18000|15316|570|7610||224|53|125053|23496||76.5|75.8||248|224|138487|125053|55|53|24636|23496||90.32|90.3|96.36|95.37
2016-03-01||108|31|10|17|1|0||59583|17130|5490|8918|442|0||149|18|82203|9360||80.8|80.8||162|149|89403|82203|19|18|9930|9360||91.98|91.95|94.74|94.26


